,brandnm,goodsnm,4days,7days
916,MAX MARA,strap basic pattern coat pink,"39,000","49,000"
917,CHRISTIAN DIOR,button basic pattern H-Line wool dress pink,"39,000","49,000"
918,ISSEY MIYAKE,pleats basic pattern A-Line dress bluegreen,"39,000","49,000"
919,THOM BROWNE,button basic pattern t-shirts white,"24,000","34,000"
920,ISSEY MIYAKE,pleats graphics pattern unbalance dress,"39,000","49,000"
921,THOM BROWNE,stripe pattern cashmere sweater charcoal,"24,000","34,000"
922,BURBERRY,check pattern wool skirt,"24,000","34,000"
923,SORRY TOO MUCH LOVE,button dots pattern shirts brown,"15,000","25,000"
924,CHANEL,pocket graphics pattern zipup-jumper navy,"49,000","59,000"
925,CHLOE,basic pattern t-shirts white,"19,000","29,000"
926,GUCCI,gold belted drape dress black,"34,000","44,000"
927,THOM BROWNE,oxford basic tee gray,"19,000","29,000"
928,CHRISTIAN DIOR,ribbon draping cap sleeve dress,"39,000","49,000"
929,CHANEL,logo pointed stripe knit top,"19,000","29,000"
930,GUCCI,unbalance draping peplum check dress,"34,000","44,000"
931,THOM BROWNE,basic pattern sweat-shirts grey,"24,000","34,000"
932,FENDI,graphics pattern top,"24,000","34,000"
933,BURBERRY,embroidery basic pattern sweater ivory,"24,000","34,000"
934,CHANEL,pocket basic pattern wool cardigan grey,"39,000","49,000"
935,BURBERRY,lettering pattern t-shirts white,"24,000","34,000"
936,ISSEY MIYAKE,pleats stripe pattern jacket,"39,000","49,000"
937,GUCCI,printing pattern sweat-shirts grey,"24,000","34,000"
938,THOM BROWNE,button stripe pattern singlebreasted-jacket navy,"39,000","49,000"
939,LANVIN,button basic pattern wool jacket black,"39,000","49,000"
940,SACAI,punching basic pattern A-Line dress skyblue,"34,000","44,000"
941,"PRADA,EL ESTILO DE CLAIRE","sleeve cardigan set green,H-line middle leather skirt","39,000","59,000"
942,THOM BROWNE,button stripe pattern wool cardigan black,"39,000","49,000"
943,BURBERRY,pocket check pattern skirt,"24,000","34,000"
944,CHANEL,pocket basic pattern wool fullzip-jacket grey,"39,000","49,000"
945,GUCCI,basic pattern A-Line dress cream,"39,000","49,000"
946,GUCCI,button flower pattern H-Line dress lavender,"39,000","49,000"
947,YVES SAINT LAURENT,basic pattern wool sweater black,"24,000","34,000"
948,GUCCI,pattern pointed a-line skirts,"19,000","29,000"
949,YVES SAINT LAURENT,basic pattern wool sweater red,"19,000","29,000"
950,BALENCIAGA,basic pattern t-shirts grey,"19,000","29,000"
951,CHANEL,crochet detail dress,"34,000","44,000"
952,GUCCI,mixed pattern knit top multi,"24,000","34,000"
953,MAX MARA,stripe pattern H-Line shirt-dress blue,"39,000","49,000"
954,GUCCI,button basic pattern H-Line dress grey,"39,000","49,000"
955,GIVENCHY,front zipper crop jumper black,"39,000","49,000"
956,SACAI,mixed pattern high neck blouse,"19,000","29,000"
957,GUCCI,lettering pattern sweater black,"24,000","34,000"
958,VALENTINO,lace pointed collar shirt,"19,000","29,000"
959,THOM BROWNE,stripe pattern pointed cardigan,"24,000","34,000"
960,CHANEL,pocket graphics pattern zipup-jumper navy,"49,000","59,000"
961,CHLOE,basic pattern t-shirts white,"19,000","29,000"
962,GUCCI,gold belted drape dress black,"34,000","44,000"
963,THOM BROWNE,oxford basic tee gray,"19,000","29,000"
964,CHRISTIAN DIOR,ribbon draping cap sleeve dress,"39,000","49,000"
965,CHANEL,logo pointed stripe knit top,"19,000","29,000"
966,GUCCI,unbalance draping peplum check dress,"34,000","44,000"
967,THOM BROWNE,basic pattern sweat-shirts grey,"24,000","34,000"
968,FENDI,graphics pattern top,"24,000","34,000"
969,BURBERRY,embroidery basic pattern sweater ivory,"24,000","34,000"
970,CHANEL,pocket basic pattern wool cardigan grey,"39,000","49,000"
971,BURBERRY,lettering pattern t-shirts white,"24,000","34,000"
